,MentionSourceName,SourceCountry
0,dailymaverick.co.za,ZAF
1,indiatimes.com,IND
2,voxy.co.nz,NZL
3,eastidahonews.com,USA
4,businessspectator.com.au,AUS
5,nasdaq.com,USA
6,betaboston.com,USA
7,dailytimes.com.pk,PAK
8,hurriyetdailynews.com,TUR
9,portlandmercury.com,USA
10,dallasnews.com,USA
11,al-monitor.com,USA
12,lansingstatejournal.com,USA
13,ap.org,USA
14,stamfordadvocate.com,
15,sacbee.com,USA
16,newser.com,USA
17,bostonherald.com,USA
18,roanoke.com,USA
19,billingsgazette.com,USA
20,kdhnews.com,USA
21,tucson.com,USA
22,cnsnews.com,USA
23,theworldlink.com,USA
24,newsradioklbj.com,USA
25,timesfreepress.com,USA
26,chippewa.com,USA
27,moultonadvertiser.com,USA
28,thetandd.com,USA
29,dailyjournalonline.com,USA
30,msnbc.com,USA
31,techstory.in,IND
32,dw.de,DEU
33,dailymail.co.uk,GBR
34,fox4news.com,USA
35,kxxv.com,USA
36,5newsonline.com,USA
37,imemc.org,FRA
38,oregonlive.com,USA
39,upi.com,USA
40,lgbtqnation.com,USA
41,goshennews.com,USA
42,the-american-interest.com,USA
43,wftv.com,USA
44,huffingtonpost.com,USA
45,postzambia.com,USA
46,timeslive.co.za,ZAF
47,herald.ie,IRL
48,mirror.co.uk,GBR
49,fchornet.com,USA
50,newtimes.co.rw,RWA
51,nzherald.co.nz,NZL
52,dallasvoice.com,USA
53,centraljersey.com,USA
54,moneymanagement.com.au,AUS
55,truth-out.org,USA
56,itworld.com,USA
57,pcworld.com,USA
58,pcadvisor.co.uk,GBR
59,courier-journal.com,USA
60,yahoo.com,USA
61,cincinnatisun.com,USA
62,zerohedge.com,USA
63,thehour.com,
64,theenterprisebulletin.com,USA
65,newstalk980.com,USA
66,cbc.ca,CAN
67,nationalgeographic.com,USA
68,asiasociety.org,USA
69,cityweekend.com.cn,CHN
70,sfgate.com,USA
71,catholicnewsagency.com,USA
72,catholicworldreport.com,USA
73,pennlive.com,USA
74,14news.com,USA
75,wtop.com,USA
76,bangordailynews.com,USA
77,sun-sentinel.com,USA
78,gopusa.com,USA
79,cityweekly.net,USA
80,wmbfnews.com,USA
81,dailytidings.com,USA
82,patheos.com,USA
83,animevice.com,
84,news-daily.com,USA
85,westerncourier.com,USA
86,kswo.com,USA
87,beaumontenterprise.com,
88,washingtonpost.com,USA
89,therepublic.com,USA
90,abc-7.com,USA
91,wsls.com,USA
92,messenger-inquirer.com,USA
93,mynorthwest.com,USA
94,klkntv.com,USA
95,foxnews.com,
96,ctpost.com,
97,lmtonline.com,
98,ktul.com,USA
99,wqow.com,USA
100,northjersey.com,USA
101,walb.com,USA
102,myfoxorlando.com,USA
103,chron.com,USA
104,hawaiinewsnow.com,USA
105,thecourierexpress.com,USA
106,newsadvance.com,USA
107,galvnews.com,USA
108,news-sentinel.com,USA
109,journal-news.com,USA
110,cachevalleydaily.com,USA
111,myfoxal.com,USA
112,wnct.com,USA
113,businessinsider.com,USA
114,whlt.com,USA
115,theeagle.com,USA
116,wandtv.com,USA
117,12newsnow.com,USA
118,kfbb.com,USA
119,wcfcourier.com,USA
120,seattlepi.com,
121,lacrossetribune.com,USA
122,dailyjournal.net,USA
123,globegazette.com,USA
124,helenair.com,USA
125,rapidcityjournal.com,USA
126,news-record.com,USA
127,daytondailynews.com,USA
128,theindependent.com,USA
129,scnow.com,USA
130,live5news.com,USA
131,njherald.com,USA
132,tribtown.com,USA
133,counton2.com,USA
134,wabi.tv,TUV
135,news.stv.tv,TUV
136,whitehouse.gov,
137,lankaweb.com,USA
138,asiaone.com,SGP
139,registerguard.com,USA
140,cbslocal.com,USA
141,myfoxdetroit.com,USA
142,mtstandard.com,USA
143,pjstar.com,USA
144,nbc40.net,USA
145,xinhuanet.com,CHN
146,chicagobusiness.com,USA
147,bloomberg.com,USA
148,dailystar.com.lb,LBN
149,BBC Monitoring,
150,9and10news.com,USA
151,wsfa.com,USA
152,dvidshub.net,NLD
153,time.com,USA
154,freemalaysiatoday.com,USA
155,scoop.co.nz,NZL
156,startribune.com,USA
157,bleedingcool.com,USA
158,worldtempus.com,CHE
159,barbadosadvocate.com,USA
160,wdef.com,USA
161,thedickinsonpress.com,USA
162,al.com,USA
163,thetimesnews.com,USA
164,saintpetersblog.com,USA
165,courierpress.com,USA
166,illinoisstate.edu,USA
167,timberjay.com,USA
168,uniondemocrat.com,USA
169,lincolncourier.com,USA
170,runnersworld.com,USA
171,thereporteronline.com,USA
172,townhall.com,USA
173,waff.com,USA
174,thesouthern.com,USA
175,tdn.com,USA
176,foxcarolina.com,USA
177,winonadailynews.com,USA
178,auburnpub.com,USA
179,muscatinejournal.com,USA
180,fox2now.com,USA
181,starnewsonline.com,USA
182,tuscaloosanews.com,USA
183,aljazeera.com,USA
184,buzzfeed.com,USA
185,newswest9.com,USA
186,arkansasonline.com,USA
187,wdio.com,USA
188,washingtontimes.com,USA
189,greenfieldreporter.com,USA
190,mlive.com,USA
191,sociable.co,COL
192,triblive.com,USA
193,breitbart.com,USA
194,pakistantelegraph.com,USA
195,jrn.com,USA
196,memphisdemocrat.com,USA
197,techtimes.com,USA
198,wjol.com,USA
199,argentinastar.com,USA
200,newsok.com,USA
201,buenosairesherald.com,USA
202,newsmax.com,USA
203,murrayvalleystandard.com.au,AUS
204,abc.net.au,AUS
205,macrobusiness.com.au,AUS
206,victorharbortimes.com.au,AUS
207,australianaviation.com.au,AUS
208,sunshinecoastdaily.com.au,AUS
209,noosanews.com.au,AUS
210,theepochtimes.com,USA
211,waow.com,USA
212,foxsanantonio.com,USA
213,multichannel.com,USA
214,theledger.com,USA
215,newsherald.com,USA
216,newsfactor.com,CAN
217,sci-tech-today.com,USA
218,toptechnews.com,USA
219,capebretonpost.com,CAN
220,trurodaily.com,CAN
221,reuters.com,USA
222,cpapracticeadvisor.com,USA
223,sltrib.com,USA
224,wkbn.com,USA
225,dailytribune.com,USA
226,theoaklandpress.com,USA
227,foxbusiness.com,GBR
228,echo.net.au,AUS
229,bizjournals.com,USA
230,4-traders.com,FRA
231,arabnews.com,USA
232,theglobeandmail.com,CAN
233,nwitimes.com,USA
234,natlawreview.com,USA
235,torontosun.com,USA
236,lfpress.com,USA
237,ourwindsor.ca,CAN
238,thespec.com,USA
239,insidehalton.com,USA
240,insidebelleville.com,CAN
241,calgaryherald.com,USA
242,edmontonjournal.com,USA
243,vancouversun.com,USA
244,leaderpost.com,USA
245,marketwatch.com,USA
246,marketwired.com,USA
247,finanznachrichten.de,DEU
248,sys-con.com,USA
249,islamicinvitationturkey.com,USA
250,huffingtonpost.ca,CAN
251,humanitariannews.org,USA
252,grist.org,USA
253,alaskahighwaynews.ca,CAN
254,torontoist.com,USA
255,nationalpost.com,USA
256,sputniknews.com,RUS
257,deltafarmpress.com,USA
258,bbg.gov,USA
259,grandforksherald.com,USA
260,cbn.com,USA
261,nbc33tv.com,USA
262,cessnockadvertiser.com.au,AUS
263,41nbc.com,USA
264,wotimes.com,USA
265,wflx.com,USA
266,heraldtribune.com,USA
267,standard.co.uk,GBR
268,globalatlanta.com,USA
269,radionz.co.nz,NZL
270,thisislancashire.co.uk,GBR
271,burytimes.co.uk,GBR
272,theday.com,USA
273,spokesman.com,USA
274,dotnews.com,USA
275,asianage.com,SGP
276,staugustine.com,USA
277,timesleader.com,USA
278,suntimes.com,USA
279,sdtimes.com,USA
280,ibtimes.com,USA
281,comingsoon.net,USA
282,forbes.com,USA
283,jta.org,USA
284,stljewishlight.com,USA
285,onlydailynews.com,USA
286,nbc15.com,USA
287,wiba.com,USA
288,timesunion.com,USA
289,kwwl.com,USA
290,usnews.com,NLD
291,valleymorningstar.com,USA
292,wkrg.com,USA
293,kaaltv.com,USA
294,oanow.com,USA
295,cbs7.com,USA
296,staradvertiser.com,USA
297,newsbug.info,USA
298,columbiadailyherald.com,USA
299,memphisflyer.com,USA
300,post-gazette.com,USA
301,wjbf.com,USA
302,dailyillini.com,USA
303,courant.com,USA
304,myfox8.com,USA
305,salon.com,IRL
306,tampabay.com,USA
307,watertowndailytimes.com,USA
308,jg-tc.com,USA
309,pantagraph.com,USA
310,eleconomista.es,ESP
311,kdal610.com,USA
312,euronews.com,FRA
313,swissinfo.ch,CHE
314,wkzo.com,USA
315,firstpost.com,IND
316,federalnewsradio.com,USA
317,wsj.com,USA
318,laht.com,CAN
319,thelineofbestfit.com,USA
320,927thevan.com,USA
321,straitstimes.com,SGP
322,insidebrockville.com,CAN
323,dailysabah.com,NLD
324,swapacd.com,
325,telegraph.co.uk,GBR
326,ghanavisions.com,USA
327,flipsidepa.com,USA
328,stuff.co.nz,NZL
329,thefrontierpost.com,USA
330,metronews.ca,CAN
331,greenwichtime.com,
332,kgw.com,USA
333,middletownpress.com,
334,smh.com.au,AUS
335,brisbanetimes.com.au,AUS
336,theage.com.au,AUS
337,canberratimes.com.au,AUS
338,thepacker.com,USA
339,marcellus.com,USA
340,kltv.com,USA
341,nj.com,USA
342,theaustralian.com.au,AUS
343,couriermail.com.au,AUS
344,dailytelegraph.com.au,AUS
345,news.com.au,AUS
346,heraldsun.com.au,AUS
347,perthnow.com.au,AUS
348,centralvalleybusinesstimes.com,USA
349,ekathimerini.com,DEU
350,en.trend.az,AZE
